Weights for binary data: [4, 5, 9, 8, 1, 5, 3, 7, 2]


Removed Attribute  | Naive Bayes   | Decision Tree | Random Forest | NN (MLP)      | SVM           | k-NN (k = 7)  | k-NN (k = 9)  | k-NN (k = 11) | k-NN (k = 13) | Gain/Loss    
address            | 33.418 %      | 67.595 %      | 74.430 %      | 60.000 %      | 31.392 %      | 54.430 %      | 35.949 %      | 65.570 %      | 33.165 %      | +48.861 %    
guardian           | 35.443 %      | 67.595 %      | 73.671 %      | 55.949 %      | 29.367 %      | 53.165 %      | 34.937 %      | 68.101 %      | 35.949 %      | +40.506 %    
Medu               | 31.139 %      | 68.354 %      | 73.671 %      | 60.000 %      | 30.127 %      | 52.658 %      | 32.405 %      | 66.835 %      | 31.392 %      | +27.595 %    
traveltime         | 31.139 %      | 68.101 %      | 74.430 %      | 61.772 %      | 32.405 %      | 52.152 %      | 33.418 %      | 63.797 %      | 32.405 %      | +27.848 %    
Fedu               | 30.380 %      | 67.595 %      | 75.190 %      | 59.747 %      | 30.380 %      | 52.152 %      | 30.380 %      | 65.063 %      | 33.671 %      | +21.013 %    
Fjob               | 32.911 %      | 67.595 %      | 73.671 %      | 56.203 %      | 32.405 %      | 51.646 %      | 33.924 %      | 66.835 %      | 34.430 %      | +15.949 %    
Dalc               | 32.152 %      | 68.101 %      | 73.671 %      | 61.266 %      | 28.101 %      | 52.152 %      | 31.899 %      | 64.051 %      | 32.152 %      | +12.911 %    
famsize            | 33.671 %      | 68.101 %      | 73.924 %      | 56.709 %      | 30.380 %      | 51.899 %      | 32.658 %      | 65.570 %      | 33.165 %      | +11.646 %    
age                | 32.911 %      | 66.835 %      | 73.671 %      | 60.000 %      | 31.392 %      | 52.911 %      | 31.139 %      | 64.810 %      | 30.380 %      | +7.848 %     
failures           | 32.152 %      | 67.848 %      | 73.165 %      | 57.468 %      | 29.367 %      | 52.911 %      | 31.899 %      | 66.329 %      | 32.911 %      | +8.101 %     
higher             | 32.405 %      | 66.835 %      | 73.165 %      | 57.722 %      | 30.127 %      | 53.418 %      | 32.152 %      | 66.582 %      | 32.658 %      | +7.848 %     
